age_month,-3_SD,-2_SD,-1_SD,Median,3_SD,2_SD,1_SD
0 ,43.6 ,45.4 ,47.3 ,49.1 ,51.0 ,52.9 ,54.7
1 ,47.8 ,49.8 ,51.7 ,53.7 ,55.6 ,57.6 ,59.5
2 ,51.0 ,53.0 ,55.0 ,57.1 ,59.1 ,61.1 ,63.2
3 ,53.5 ,55.6 ,57.7 ,59.8 ,61.9 ,64.0 ,66.1
4 ,55.6 ,57.8 ,59.9 ,62.1 ,64.3 ,66.4 ,68.6
5 ,57.4 ,59.6 ,61.8 ,64.0 ,66.2 ,68.5 ,70.7
6 ,58.9 ,61.2 ,63.5 ,65.7 ,68.0 ,70.3 ,72.5
7 ,60.3 ,62.7 ,65.0 ,67.3 ,69.6 ,71.9 ,74.2
8 ,61.7 ,64.0 ,66.4 ,68.7 ,71.1 ,73.5 ,75.8
9 ,62.9 ,65.3 ,67.7 ,70.1 ,72.6 ,75.0 ,77.4
10, 64.1, 66.5, 69.0, 71.5, 73.9, 76.4, 78.9
11, 65.2, 67.7, 70.3, 72.8, 75.3, 77.8, 80.3
12, 66.3, 68.9, 71.4, 74.0, 76.6, 79.2, 81.7
13, 67.3, 70.0, 72.6, 75.2, 77.8, 80.5, 83.1
14, 68.3, 71.0, 73.7, 76.4, 79.1, 81.7, 84.4
15, 69.3, 72.0, 74.8, 77.5, 80.2, 83.0, 85.7
16, 70.2, 73.0, 75.8, 78.6, 81.4, 84.2, 87.0
17, 71.1, 74.0, 76.8, 79.7, 82.5, 85.4, 88.2
18, 72.0, 74.9, 77.8, 80.7, 83.6, 86.5, 89.4
19, 72.8, 75.8, 78.8, 81.7, 84.7, 87.6, 90.6
20, 73.7, 76.7, 79.7, 82.7, 85.7, 88.7, 91.7
21, 74.5, 77.5, 80.6, 83.7, 86.7, 89.8, 92.9
22, 75.2, 78.4, 81.5, 84.6, 87.7, 90.8, 94.0
23, 76.0, 79.2, 82.3, 85.5, 88.7, 91.9, 95.0
24, 76.7, 80.0, 83.2, 86.4, 89.6, 92.9, 96.1
24, 78.0, 81.0 ,84.1, 87.1, 90.2, 93.2, 96.3
25, 78.6, 81.7 ,84.9, 88.0, 91.1, 94.2, 97.3
26, 79.3, 82.5 ,85.6, 88.8, 92.0, 95.2, 98.3
27, 79.9, 83.1 ,86.4, 89.6, 92.9, 96.1, 99.3
28, 80.5, 83.8 ,87.1, 90.4, 93.7, 97.0, 100.3
29, 81.1, 84.5 ,87.8, 91.2, 94.5, 97.9, 101.2
30, 81.7, 85.1 ,88.5, 91.9, 95.3, 98.7, 102.1
31, 82.3, 85.7 ,89.2, 92.7, 96.1, 99.6, 103.0
32, 82.8, 86.4 ,89.9, 93.4, 96.9, 100.4, 103.9
33, 83.4, 86.9 ,90.5, 94.1, 97.6, 101.2, 104.8
34, 83.9, 87.5 ,91.1, 94.8, 98.4, 102.0, 105.6
35, 84.4, 88.1 ,91.8, 95.4, 99.1, 102.7, 106.4
36, 85.0, 88.7 ,92.4, 96.1, 99.8, 103.5, 107.2
37, 85.5, 89.2 ,93.0, 96.7, 100.5, 104.2, 108.0
38, 86.0, 89.8 ,93.6, 97.4, 101.2, 105.0, 108.8
39, 86.5, 90.3 ,94.2, 98.0, 101.8, 105.7, 109.5
40, 87.0, 90.9 ,94.7, 98.6, 102.5, 106.4, 110.3
41, 87.5, 91.4 ,95.3, 99.2, 103.2, 107.1, 111.0
42, 88.0, 91.9 ,95.9, 99.9, 103.8, 107.8, 111.7
43, 88.4, 92.4 ,96.4, 100.4, 104.5, 108.5, 112.5
44, 88.9, 93.0 ,97.0, 101.0, 105.1, 109.1, 113.2
45, 89.4, 93.5 ,97.5, 101.6, 105.7, 109.8, 113.9
46, 89.8, 94.0 ,98.1, 102.2, 106.3, 110.4, 114.6
47, 90.3, 94.4 ,98.6, 102.8, 106.9, 111.1, 115.2
48, 90.7, 94.9 ,99.1, 103.3, 107.5, 111.7, 115.9
49, 91.2, 95.4 ,99.7, 103.9, 108.1, 112.4, 116.6
50, 91.6, 95.9 ,100.2 ,104.4 ,108.7 ,113.0 ,117.3
51, 92.1, 96.4 ,100.7 ,105.0 ,109.3 ,113.6 ,117.9
52, 92.5, 96.9 ,101.2 ,105.6 ,109.9 ,114.2 ,118.6
53, 93.0, 97.4 ,101.7 ,106.1 ,110.5 ,114.9 ,119.2
54, 93.4, 97.8 ,102.3 ,106.7 ,111.1 ,115.5 ,119.9
55, 93.9, 98.3 ,102.8 ,107.2 ,111.7 ,116.1 ,120.6
56, 94.3, 98.8 ,103.3 ,107.8 ,112.3 ,116.7 ,121.2
57, 94.7, 99.3 ,103.8 ,108.3 ,112.8 ,117.4 ,121.9
58, 95.2, 99.7 ,104.3 ,108.9 ,113.4 ,118.0 ,122.6
59, 95.6, 100.2, 104.8, 109.4, 114.0, 118.6, 123.2
60, 96.1, 100.7, 105.3, 110.0, 114.6, 119.2, 123.9
